event_id,fault_type,device,severity,start_time,end_time,recovery_time,affected_services,affected_links,expected_impact
d44038c588554142,tunnel_failure,branch-4,0.355,1970-01-01T00:23:00+00:00,1970-01-01T00:29:00+00:00,1970-01-01T00:29:00+00:00,"video_conferencing,erp","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-3_to_branch-4",Tunnel degradation impacting encrypted traffic
9cd80a15be4147b7,tunnel_failure,datacenter-1,0.7232,1970-01-01T01:05:00+00:00,1970-01-01T01:42:00+00:00,1970-01-01T01:42:00+00:00,"video_conferencing,erp",datacenter-1_to_mpls-hub-1,Tunnel degradation impacting encrypted traffic
a900cb0bace24cd7,congestion,branch-2,0.3259,1970-01-01T01:55:00+00:00,1970-01-01T01:59:00+00:00,1970-01-01T01:59:00+00:00,"erp,web_traffic,video_conferencing","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-2,branch-1_to_branch-2",Increased latency and packet loss on affected links
d60f48b864654d46,mpls_failure,mpls-hub-1,0.3124,1970-01-01T03:16:00+00:00,1970-01-01T03:39:00+00:00,1970-01-01T03:39:00+00:00,"erp,database,web_traffic","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4",MPLS LSP degradation impacting label-switched traffic
1b5eded2c6e240c6,bgp_flap,branch-3,0.6187,1970-01-01T03:45:00+00:00,1970-01-01T03:49:00+00:00,1970-01-01T03:49:00+00:00,"erp,database,web_traffic","mpls-hub-1_to_branch-3,branch-3_to_branch-4",Routing instability causing intermittent connectivity
aed7ebaea21040b8,congestion,branch-2,0.5157,1970-01-01T02:21:00+00:00,1970-01-01T04:20:00+00:00,1970-01-01T04:20:00+00:00,"erp,web_traffic,video_conferencing","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-1_to_branch-2",Increased latency and packet loss on affected links
9b43390ec1484384,packet_loss_escalation,datacenter-1,0.4834,1970-01-01T03:57:00+00:00,1970-01-01T04:54:00+00:00,1970-01-01T04:54:00+00:00,"video_conferencing,web_traffic","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,branch-1_to_branch-2,branch-3_to_branch-4",Escalating packet loss degrading application QoE
e781c47bd24c4595,tunnel_failure,branch-4,0.6003,1970-01-01T07:51:00+00:00,1970-01-01T08:03:00+00:00,1970-01-01T08:03:00+00:00,"video_conferencing,erp","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-4,branch-1_to_branch-2,branch-3_to_branch-4",Tunnel degradation impacting encrypted traffic
367a7d6a5dd0432a,bgp_flap,mpls-hub-1,0.3834,1970-01-01T08:32:00+00:00,1970-01-01T08:41:00+00:00,1970-01-01T08:41:00+00:00,"erp,database,web_traffic","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-1_to_branch-2",Routing instability causing intermittent connectivity
fba6e979df854b89,bgp_flap,mpls-hub-1,0.6467,1970-01-01T08:20:00+00:00,1970-01-01T08:48:00+00:00,1970-01-01T08:48:00+00:00,"erp,database,web_traffic","datacenter-1_to_mpls-hub-1,mpls-hub-1_to_branch-1,mpls-hub-1_to_branch-2,mpls-hub-1_to_branch-3,mpls-hub-1_to_branch-4,branch-3_to_branch-4",Routing instability causing intermittent connectivity
